FRN,471 Application Number,Billed Entity Name,Applicant Type,Applicant Street Address 1,Applicant City,Applicant Zip Code,Fund Year,Cmtd Total Cost,FRN Committed Amount,Total Authorized Disbursement
1699037345,161020055,YESHIVA TORAT EMET - Sephardic Gan,School,11330 Braesridge Drive,HOUSTON,"	77071",2016,"$1,558.80 ","$1,247.04 ","$1,246.40 "
1699038880,161020476,IMMACULATE CONCEPTION SCHOOL,School,400 NE 17TH ST,GRAND PRAIRIE,"	75050",2016,"$10,395.06 ","$6,237.04 ","$6,199.86 "
1699039411,161020952,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,School,5807 CALHOUN RD,HOUSTON,"	77021",2016,"$4,933.20 ",$0.00 ,
1699042015,161005397,GATEWAY CHARTER ACADEMY,School,6103 HOUSTON SCHOOL RD,DALLAS,"	75241",2016,"$40,800.00 ","$36,720.00 ","$36,720.00 "
1699042035,161005397,GATEWAY CHARTER ACADEMY,School,6103 HOUSTON SCHOOL RD,DALLAS,"	75241",2016,"$31,920.00 ","$28,728.00 ","$28,728.00 "
1699043855,161022844,ST MARK CATHOLIC SCHOOL,School,1201 ALMA DR,PLANO,"	75075",2016,"$20,349.00 ","$8,139.60 ","$7,709.49 "
1699043906,161022866,CHANNING PUBLIC SCHOOL,School,916 GREENWOOD,CHANNING,"	79018",2016,,,
1699045408,161023485,CHANNING PUBLIC SCHOOL,School,916 GREENWOOD,CHANNING,"	79018",2016,"$44,520.00 ","$35,616.00 ","$35,616.00 "
1699046144,161023739,ST ELIZABETH CATHOLIC SCHOOL,School,4019 S HAMPTON RD,DALLAS,"	75224",2016,"$13,225.00 ","$6,612.50 ","$5,770.59 "
1699046749,161023936,St. Philip's School & Community Center,School,1600 PENNSYLVANIA AVE,DALLAS,"	75215",2016,"$5,283.72 ","$2,641.86 ","$2,641.86 "
1699046814,161023948,C.O.R.E. ACADEMY,School,12707 CULLEN BLVD,HOUSTON,"	77047",2016,"$12,851.76 ","$11,566.58 ","$11,566.56 "
1699049445,161025031,HOLY TRINITY ELEMENTARY SCHOOL,School,3815 OAK LAWN AVE,DALLAS,"	75219",2016,"$16,212.00 ","$9,727.20 ","$9,727.20 "
1699049618,161025096,ST AMBROSE SCHOOL,School,4213 MANGUM RD,HOUSTON,"	77092",2016,"$2,269.20 ",$907.68 ,$907.68 
1699049920,161025156,ST ANNE SCHOOL-HOUSTON,School,2120 WESTHEIMER RD,HOUSTON,"	77098",2016,"$18,240.48 ","$7,296.19 ","$7,296.19 "
1699049926,161025201,NEW BRAUNFELS CHRISTIAN ACADEMY,School,220 FM 1863,NEW BRAUNFELS,"	78132",2016,"$8,940.00 ","$3,576.00 ","$3,575.76 "
1699050390,161025391,ST ANNE CATHOLIC ELEM SCHOOL-TOMBALL,School,1111 S CHERRY ST,TOMBALL,"	77375",2016,"$6,720.48 ","$2,688.19 ","$2,688.19 "
1699050474,161025454,BISHOP LYNCH HIGH SCHOOL,School,9750 FERGUSON RD,DALLAS,"	75228",2016,"$24,274.92 ","$9,709.97 ","$8,640.00 "
1699050627,161025450,Prince of Peace Catholic School,School,5100 W PLANO PKWY,PLANO,"	75093",2016,"$19,805.40 ","$7,922.16 ","$7,922.16 "
1699051318,161025819,CALVARY EPISCOPAL SCHOOL INC,School,1201 AUSTIN ST,RICHMOND,"	77469",2016,"$3,020.16 ","$1,208.06 ","$1,103.35 "
1699051350,161025819,CALVARY EPISCOPAL SCHOOL INC,School,1201 AUSTIN ST,RICHMOND,"	77469",2016,"$6,081.36 ","$2,432.54 ","$2,432.54 "
1699051764,161026008,ST THOMAS AQUINAS SCHOOL,School,3741 ABRAMS RD,DALLAS,"	75214",2016,"$39,210.00 ","$15,684.00 ","$13,500.90 "
1699052096,161026077,ST ANTHONY OF PADUA SCHOOL,School,7901 BAY BRANCH DR,THE WOODLANDS,"	77382",2016,"$58,707.12 ","$23,482.85 ","$23,480.00 "
1699053296,161026627,NOTRE DAME OF DALLAS SCHOOL,School,2018 ALLEN ST,DALLAS,"	75204",2016,"$3,000.00 ","$1,500.00 ","$1,329.89 "
1699053314,161026627,NOTRE DAME OF DALLAS SCHOOL,School,2018 ALLEN ST,DALLAS,"	75204",2016,"$1,875.00 ",$937.50 ,$679.25 
1699053362,161026604,ST AUGUSTINE CATHOLIC SCHOOL,School,5500 LAUREL CREEK WAY,HOUSTON,"	77017",2016,"$2,293.92 ","$1,835.14 ","$1,835.14 "
1699053425,161026723,ST MONICA SCHOOL,School,4140 WALNUT HILL LN,DALLAS,"	75229",2016,"$16,320.00 ","$6,528.00 ","$6,510.00 "
1699053483,161026752,PRINCE OF PEACE CHRISTIAN SCHOOL,School,4000 MIDWAY RD,CARROLLTON,"	75007",2016,"$27,900.00 ","$5,580.00 ","$5,580.00 "
1699053796,161026904,ST CATHERINE MONTESSORI SCHOOL,School,2510 WESTRIDGE ST,HOUSTON,"	77054",2016,"$2,293.92 ",$917.57 ,$917.57 
1699053986,161026971,ST CECILIA SCHOOL,School,11740 JOAN OF ARC DR,HOUSTON,"	77024",2016,"$8,097.96 ","$3,239.18 ","$3,239.18 "
1699054269,161026859,SPRING CREEK ELEMENTARY SCHOOL,School,HC 1 BOX 48,SKELLYTOWN,"	79080",2016,"$44,520.00 ","$35,616.00 ","$35,616.00 "
1699054443,161027116,ST CHRISTOPHER SCHOOL,School,8134 PARK PLACE BLVD,HOUSTON,"	77017",2016,"$1,170.48 ","$1,053.43 ","$1,053.43 "
1699054555,161027159,BISHOP T K GORMAN SCHOOL,School,1405 E SOUTHEAST LOOP 323,TYLER,"	75701",2016,"$8,100.00 ","$3,240.00 ","$3,240.00 "
1699054590,161027172,ST CLAIRE OF ASSISI,School,3131 EL DORADO BLVD,HOUSTON,"	77059",2016,"$2,293.32 ",$917.33 ,$917.33 
1699054660,161027198,ST EDWARD SCHOOL,School,2601 SPRING STUEBNER RD,SPRING,"	77389",2016,"$3,160.80 ","$1,580.40 ","$1,580.40 "
1699054729,161027223,ST ELIZABETH ANN SETON SCHOOL,School,6646 ADDICKS SATSUMA RD,HOUSTON,"	77084",2016,"$4,349.64 ","$1,739.86 ","$1,739.20 "
1699054777,161027235,ST FRANCIS DE SALES SCHOOL,School,8100 ROOS RD,HOUSTON,"	77036",2016,"$1,794.24 ",$717.70 ,$675.69 
1699054781,161027235,ST FRANCIS DE SALES SCHOOL,School,8100 ROOS RD,HOUSTON,"	77036",2016,"$2,964.00 ","$1,185.60 ","$1,095.27 "
1699054803,161027241,ST FRANCIS OF ASSISI SCHOOL,School,5100 DABNEY ST,HOUSTON,"	77026",2016,"$2,032.80 ","$1,626.24 ","$1,626.24 "
1699054812,161027243,ST HELEN SCHOOL,School,2213 OLD ALVIN RD,PEARLAND,"	77581",2016,$886.80 ,$354.72 ,$354.72 
